#{"t_start": 1650950672.8170767, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
634,346,1447.849447
1430,750,1450.319874
1421,692,1452.296963
247,108,1452.658996
625,264,1453.37989
636,354,1454.539147
1324,939,1458.195452
603,400,1459.469182
243,118,1459.774365
233,128,1460.249095
1424,622,1462.309096
246,110,1462.766871
233,132,1463.106961
1044,710,1465.663129
815,562,1467.547421
624,330,1468.53497
252,106,1468.958542
731,700,1471.266537
252,106,1471.688596
1850,868,1474.39503
1021,1032,1477.59564
235,124,1478.064385
816,552,1479.905827
614,250,1480.688284
247,112,1481.117257
611,240,1481.880219
639,284,1482.748616
652,300,1483.880958
1434,676,1486.064527
651,326,1487.180676
623,372,1488.432841
719,404,1490.029452
1051,477,1491.569264
252,106,1491.998259
610,388,1493.138225
1040,582,1495.054607
1049,624,1497.316655
252,106,1497.58448
750,610,1499.595474
653,290,1500.648526
249,108,1500.932385
605,394,1502.244525
1321,875,1505.202058
1154,602,1507.210166
1321,618,1509.432307
622,292,1510.435455
641,536,1512.156979
252,106,1512.401028
1314,743,1514.759742
1429,670,1517.028532
1050,607,1519.079382
630,296,1520.355453
1559,898,1523.431838
815,560,1525.461576
233,132,1526.007218
654,276,1526.805403
249,108,1527.172422
1575,804,1529.54862
653,280,1530.490686
1047,669,1532.563873
249,108,1532.84216
1333,767,1535.638778
596,396,1537.087192
1326,605,1539.170506
612,246,1539.961545
635,298,1540.891257
1055,499,1542.445305
1568,978,1546.357411
1314,742,1548.8664
634,318,1549.80549
609,256,1550.764367
1055,506,1552.270712
1047,474,1553.8435
250,106,1554.111784
640,558,1555.931502
1050,617,1557.977704
623,352,1559.045858
235,134,1559.351217
247,112,1559.717241
735,394,1560.826086
632,326,1561.866547
734,490,1563.561048
232,130,1564.043771
248,108,1564.32103
250,108,1564.742901
1336,639,1566.815591
622,348,1567.946286
235,124,1568.644334
771,568,1570.418215
1419,880,1573.351679
1031,817,1576.042339
1416,734,1578.379356
626,292,1579.311094
600,360,1580.391047
1042,740,1582.710172
614,234,1583.663503
248,108,1583.943743
1332,839,1586.68856
252,106,1587.053951
1053,528,1588.484586
1325,684,1590.529332
238,126,1590.938267
630,324,1591.818487
1032,789,1594.199322
248,108,1594.559723
1326,536,1596.159983
1341,718,1598.353185
1056,497,1599.8939
247,108,1600.256298
1430,666,1602.237196
1041,638,1604.237186
616,380,1605.218303
609,334,1606.189687
609,266,1606.921267
1051,522,1608.576029
1155,536,1610.331319
725,494,1611.704487
1326,688,1613.88424
1341,698,1615.978954
816,550,1617.631013
252,106,1617.886092
235,124,1618.293752
607,252,1619.106577
1032,680,1621.323474
245,108,1621.581463
613,266,1622.442924
1661,1412,1626.883242
1047,674,1628.842274
237,134,1629.273977
818,510,1630.660282
1046,685,1632.838791
1322,787,1635.199858
1573,816,1637.787955
637,290,1638.695975
588,410,1640.058556
1433,682,1642.326244
1318,661,1644.366313
754,498,1645.961531
1044,587,1647.762839
252,106,1648.185416
3027,1776,1654.33886
763,642,1656.76294
616,274,1657.507325
251,112,1658.455405
622,334,1659.769788
1040,631,1661.574838
250,108,1661.822177
246,116,1662.208699
1321,613,1664.377825
1046,690,1666.933806
652,314,1667.835324
251,112,1668.264393
627,318,1669.60467
1910,1042,1672.958628
596,346,1674.069599
1571,690,1676.822414
741,518,1679.200966
1048,481,1681.327474
249,108,1681.623844
773,550,1683.590601
1315,744,1686.17233
251,112,1686.446596
730,648,1688.747578
1045,568,1690.542984
636,312,1691.456405
653,290,1692.212382
1333,789,1694.824513
252,106,1695.199515
627,266,1695.935546
233,128,1696.362032
609,368,1697.456351
