#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
247,110,891.955651
638,296,893.193243
815,574,895.420973
620,268,896.313906
619,252,897.29831
637,318,898.719999
249,108,899.158969
1329,671,901.753658
1294,1025,905.535397
248,116,906.215848
1437,664,908.481873
1342,741,911.384191
629,330,912.640945
620,300,913.777967
234,128,914.395112
613,302,915.406955
810,660,917.880149
1045,546,919.900149
249,110,920.332252
1045,550,922.120227
611,274,923.14999
622,300,924.316134
1044,607,926.432516
624,312,927.717237
617,278,928.629306
1342,742,931.329064
250,106,931.939359
637,368,933.090502
252,106,933.534325
1694,972,937.182538
606,286,938.113978
1911,1090,942.348552
1328,561,944.227727
633,276,945.42748
252,106,945.722725
604,372,947.150266
235,124,947.760634
1154,520,949.48181
1049,499,951.399279
246,110,951.840017
1040,629,954.124931
1037,664,956.802542
614,286,957.750315
1314,1061,961.86112
1332,623,964.320683
240,134,964.907796
629,322,966.049446
1438,630,968.285072
249,108,969.057525
627,314,970.095183
610,278,971.355693
1694,848,974.550784
238,126,975.161156
1041,634,977.573494
627,338,978.801081
2354,1278,983.451395
246,110,984.013352
816,546,985.98146
247,112,986.426242
245,116,986.754365
611,338,988.094788
250,108,988.537217
817,538,990.470616
608,272,991.579066
630,366,993.017926
620,408,994.601267
752,434,996.296359
1026,942,999.841943
641,324,1000.895333
816,544,1003.046961
243,120,1003.512812
637,282,1004.460441
1325,1187,1009.006243
235,124,1009.35927
234,126,1009.849578
761,574,1012.156566
612,364,1013.558352
1326,743,1016.44513
2359,1110,1020.222352
792,1022,1024.016663
247,108,1024.638098
625,334,1025.783177
624,452,1027.578313
610,252,1028.535385
1318,841,1031.643958
808,712,1034.31779
232,134,1034.689793
622,344,1036.06377
1324,781,1039.041486
769,480,1040.670657
1431,794,1043.625603
743,740,1046.465414
609,260,1047.460481
1330,636,1049.82392
1049,498,1051.585497
609,248,1052.579222
1046,531,1054.646562
1329,887,1057.776686
1335,751,1060.69364
248,112,1061.147181
251,114,1061.46932
249,108,1061.914283
1436,720,1064.650564
814,580,1066.646157
253,116,1067.262821
1683,830,1070.279713
1336,690,1072.739406
1834,1164,1076.989594
